adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
mme martin 87 impasse du général leclerc 69003 nantes france,87,,impasse,du Général Leclerc,69003,Nantes,France,Mme Martin,"Parsing: mme martin 87 impasse du général leclerc 69003 nantes france
Champs: {""Building_Number"": 87, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""impasse""}"
france de verdun 13008 avenue 187 lyon dupont,187,,avenue,de Verdun,13008,Lyon,France,Dupont,"Parsing: france de verdun 13008 avenue 187 lyon dupont
Champs: {""Building_Number"": 187, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""avenue""}"
106 6000 du Général Leclerc ter France Marseille M. Durant impasse,106,ter,impasse,du Général Leclerc,6000,Marseille,France,M. Durant,"Parsing: 106 6000 du Général Leclerc ter France Marseille M. Durant impasse
Champs: {""Building_Number"": 106, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 6000, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
44000 du général leclerc france chemin b 65 m. durant nice,65,B,chemin,du Général Leclerc,44000,Nice,France,M. Durant,"Parsing: 44000 du général leclerc france chemin b 65 m. durant nice
Champs: {""Building_Number"": 65, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
73 B rue de Verdun 67000 Marseille France,73,B,rue,de Verdun,67000,Marseille,France,,"Parsing: 73 B rue de Verdun 67000 Marseille France
Champs: {""Building_Number"": 73, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de Verdun"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""rue""}"
de la République 67000 France 70 Dupont avenue Paris B,70,B,avenue,de la République,67000,Paris,France,Dupont,"Parsing: de la République 67000 France 70 Dupont avenue Paris B
Champs: {""Building_Number"": 70, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
mme martin 87 b chemin de verdun 92100 toulouse france,87,B,chemin,de Verdun,92100,Toulouse,France,Mme Martin,"Parsing: mme martin 87 b chemin de verdun 92100 toulouse france
Champs: {""Building_Number"": 87, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
Mme Martin 107 ter chemin du Général Leclerc 33000 Marseille France,107,ter,chemin,du Général Leclerc,33000,Marseille,France,Mme Martin,"Parsing: Mme Martin 107 ter chemin du Général Leclerc 33000 Marseille France
Champs: {""Building_Number"": 107, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
route ter Mme Martin France Nice 13008 15 Jean Jaurès,15,ter,route,Jean Jaurès,13008,Nice,France,Mme Martin,"Parsing: route ter Mme Martin France Nice 13008 15 Jean Jaurès
Champs: {""Building_Number"": 15, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""route""}"
M. Durant 189 rue de la République 6000 Boulogne-Billancourt France,189,,rue,de la République,6000,Boulogne-Billancourt,France,M. Durant,"Parsing: M. Durant 189 rue de la République 6000 Boulogne-Billancourt France
Champs: {""Building_Number"": 189, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""rue""}"
Dupont 180 B rue de Verdun 67000 Nantes France,180,B,rue,de Verdun,67000,Nantes,France,Dupont,"Parsing: Dupont 180 B rue de Verdun 67000 Nantes France
Champs: {""Building_Number"": 180, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""rue""}"
Mme Martin 48 B impasse du Général Leclerc 75001 Paris France,48,B,impasse,du Général Leclerc,75001,Paris,France,Mme Martin,"Parsing: Mme Martin 48 B impasse du Général Leclerc 75001 Paris France
Champs: {""Building_Number"": 48, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
mme martin des lilas 109 avenue strasbourg b france 92100,109,B,avenue,des Lilas,92100,Strasbourg,France,Mme Martin,"Parsing: mme martin des lilas 109 avenue strasbourg b france 92100
Champs: {""Building_Number"": 109, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
société leroy 157 bis route des lilas 33000 lyon france,157,bis,route,des Lilas,33000,Lyon,France,Société Leroy,"Parsing: société leroy 157 bis route des lilas 33000 lyon france
Champs: {""Building_Number"": 157, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""route""}"
6000 101 nantes jean jaurès france m. durant avenue,101,,avenue,Jean Jaurès,6000,Nantes,France,M. Durant,"Parsing: 6000 101 nantes jean jaurès france m. durant avenue
Champs: {""Building_Number"": 101, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": null, ""type_voie"": ""avenue""}"
67000 route 186 lyon de verdun dupont france,186,,route,de Verdun,67000,Lyon,France,Dupont,"Parsing: 67000 route 186 lyon de verdun dupont france
Champs: {""Building_Number"": 186, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""route""}"
france impasse de verdun b nantes 81 92100 m. durant,81,B,impasse,de Verdun,92100,Nantes,France,M. Durant,"Parsing: france impasse de verdun b nantes 81 92100 m. durant
Champs: {""Building_Number"": 81, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
Mme Martin 15 chemin de Verdun 69003 Paris France,15,,chemin,de Verdun,69003,Paris,France,Mme Martin,"Parsing: Mme Martin 15 chemin de Verdun 69003 Paris France
Champs: {""Building_Number"": 15, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": null, ""type_voie"": ""chemin""}"
M. Durant 5 ter chemin du Général Leclerc 13008 Bordeaux France,5,ter,chemin,du Général Leclerc,13008,Bordeaux,France,M. Durant,"Parsing: M. Durant 5 ter chemin du Général Leclerc 13008 Bordeaux France
Champs: {""Building_Number"": 5, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
B Mme Martin 69003 146 France de Verdun Nice rue,146,B,rue,de Verdun,69003,Nice,France,Mme Martin,"Parsing: B Mme Martin 69003 146 France de Verdun Nice rue
Champs: {""Building_Number"": 146, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""B"", ""type_voie"": ""rue""}"
mme martin 64 bis rue victor hugo 67000 nantes france,64,bis,rue,Victor Hugo,67000,Nantes,France,Mme Martin,"Parsing: mme martin 64 bis rue victor hugo 67000 nantes france
Champs: {""Building_Number"": 64, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
67000 chemin Paris 191 France A de la République,191,A,chemin,de la République,67000,Paris,France,,"Parsing: 67000 chemin Paris 191 France A de la République
Champs: {""Building_Number"": 191, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
M. Durant 155 ter avenue Victor Hugo 92100 Bordeaux France,155,ter,avenue,Victor Hugo,92100,Bordeaux,France,M. Durant,"Parsing: M. Durant 155 ter avenue Victor Hugo 92100 Bordeaux France
Champs: {""Building_Number"": 155, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 92100, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
Dupont 128 bis impasse du Général Leclerc 67000 Boulogne-Billancourt France,128,bis,impasse,du Général Leclerc,67000,Boulogne-Billancourt,France,Dupont,"Parsing: Dupont 128 bis impasse du Général Leclerc 67000 Boulogne-Billancourt France
Champs: {""Building_Number"": 128, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
Dupont 129 B impasse du Général Leclerc 33000 Lyon France,129,B,impasse,du Général Leclerc,33000,Lyon,France,Dupont,"Parsing: Dupont 129 B impasse du Général Leclerc 33000 Lyon France
Champs: {""Building_Number"": 129, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
M. Durant 100 boulevard de Verdun 13008 Paris France,100,,boulevard,de Verdun,13008,Paris,France,M. Durant,"Parsing: M. Durant 100 boulevard de Verdun 13008 Paris France
Champs: {""Building_Number"": 100, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""boulevard""}"
lyon avenue m. durant 67000 victor hugo france 18,18,,avenue,Victor Hugo,67000,Lyon,France,M. Durant,"Parsing: lyon avenue m. durant 67000 victor hugo france 18
Champs: {""Building_Number"": 18, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""avenue""}"
137 bis avenue jean jaurès 6000 lyon france,137,bis,avenue,Jean Jaurès,6000,Lyon,France,,"Parsing: 137 bis avenue jean jaurès 6000 lyon france
Champs: {""Building_Number"": 137, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
mme martin 119 bis impasse victor hugo 13008 nice france,119,bis,impasse,Victor Hugo,13008,Nice,France,Mme Martin,"Parsing: mme martin 119 bis impasse victor hugo 13008 nice france
Champs: {""Building_Number"": 119, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
81 bis avenue des lilas 69003 strasbourg france,81,bis,avenue,des Lilas,69003,Strasbourg,France,,"Parsing: 81 bis avenue des lilas 69003 strasbourg france
Champs: {""Building_Number"": 81, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 69003, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
mme martin 116 bis rue de la république 13008 lyon france,116,bis,rue,de la République,13008,Lyon,France,Mme Martin,"Parsing: mme martin 116 bis rue de la république 13008 lyon france
Champs: {""Building_Number"": 116, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
31000 france b société leroy 62 route nantes de verdun,62,B,route,de Verdun,31000,Nantes,France,Société Leroy,"Parsing: 31000 france b société leroy 62 route nantes de verdun
Champs: {""Building_Number"": 62, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""route""}"
67000 de la république 55 boulevard france b nice,55,B,boulevard,de la République,67000,Nice,France,,"Parsing: 67000 de la république 55 boulevard france b nice
Champs: {""Building_Number"": 55, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
société leroy 151 b boulevard de la république 31000 toulouse france,151,B,boulevard,de la République,31000,Toulouse,France,Société Leroy,"Parsing: société leroy 151 b boulevard de la république 31000 toulouse france
Champs: {""Building_Number"": 151, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
france nantes 158 33000 de la république mme martin avenue ter,158,ter,avenue,de la République,33000,Nantes,France,Mme Martin,"Parsing: france nantes 158 33000 de la république mme martin avenue ter
Champs: {""Building_Number"": 158, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
31000 Société Leroy rue France 29 de la République Boulogne-Billancourt ter,29,ter,rue,de la République,31000,Boulogne-Billancourt,France,Société Leroy,"Parsing: 31000 Société Leroy rue France 29 de la République Boulogne-Billancourt ter
Champs: {""Building_Number"": 29, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
118 b boulevard du général leclerc 44000 toulouse france,118,B,boulevard,du Général Leclerc,44000,Toulouse,France,,"Parsing: 118 b boulevard du général leclerc 44000 toulouse france
Champs: {""Building_Number"": 118, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
France route 75001 de Verdun 172 Lyon B,172,B,route,de Verdun,75001,Lyon,France,,"Parsing: France route 75001 de Verdun 172 Lyon B
Champs: {""Building_Number"": 172, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": ""B"", ""type_voie"": ""route""}"
nice a 41 dupont france victor hugo route 6000,41,A,route,Victor Hugo,6000,Nice,France,Dupont,"Parsing: nice a 41 dupont france victor hugo route 6000
Champs: {""Building_Number"": 41, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 6000, ""repetition"": ""A"", ""type_voie"": ""route""}"
134 rue des lilas 31000 boulogne-billancourt france,134,,rue,des Lilas,31000,Boulogne-Billancourt,France,,"Parsing: 134 rue des lilas 31000 boulogne-billancourt france
Champs: {""Building_Number"": 134, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 31000, ""repetition"": null, ""type_voie"": ""rue""}"
france toulouse 58 route de la république 6000 m. durant b,58,B,route,de la République,6000,Toulouse,France,M. Durant,"Parsing: france toulouse 58 route de la république 6000 m. durant b
Champs: {""Building_Number"": 58, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": ""B"", ""type_voie"": ""route""}"
société leroy 106 b impasse jean jaurès 67000 nantes france,106,B,impasse,Jean Jaurès,67000,Nantes,France,Société Leroy,"Parsing: société leroy 106 b impasse jean jaurès 67000 nantes france
Champs: {""Building_Number"": 106, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
dupont 195 bis rue des lilas 6000 nice france,195,bis,rue,des Lilas,6000,Nice,France,Dupont,"Parsing: dupont 195 bis rue des lilas 6000 nice france
Champs: {""Building_Number"": 195, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
67000 chemin france 152 société leroy b jean jaurès boulogne-billancourt,152,B,chemin,Jean Jaurès,67000,Boulogne-Billancourt,France,Société Leroy,"Parsing: 67000 chemin france 152 société leroy b jean jaurès boulogne-billancourt
Champs: {""Building_Number"": 152, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
Victor Hugo Mme Martin France bis 147 Paris 75001 impasse,147,bis,impasse,Victor Hugo,75001,Paris,France,Mme Martin,"Parsing: Victor Hugo Mme Martin France bis 147 Paris 75001 impasse
Champs: {""Building_Number"": 147, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
Société Leroy 156 ter rue de la République 31000 Paris France,156,ter,rue,de la République,31000,Paris,France,Société Leroy,"Parsing: Société Leroy 156 ter rue de la République 31000 Paris France
Champs: {""Building_Number"": 156, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
mme martin 11 b impasse des lilas 33000 nice france,11,B,impasse,des Lilas,33000,Nice,France,Mme Martin,"Parsing: mme martin 11 b impasse des lilas 33000 nice france
Champs: {""Building_Number"": 11, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""B"", ""type_voie"": ""impasse""}"
M. Durant 194 bis impasse Jean Jaurès 67000 Paris France,194,bis,impasse,Jean Jaurès,67000,Paris,France,M. Durant,"Parsing: M. Durant 194 bis impasse Jean Jaurès 67000 Paris France
Champs: {""Building_Number"": 194, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
Mme Martin 20 A boulevard Jean Jaurès 44000 Boulogne-Billancourt France,20,A,boulevard,Jean Jaurès,44000,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 20 A boulevard Jean Jaurès 44000 Boulogne-Billancourt France
Champs: {""Building_Number"": 20, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 44000, ""repetition"": ""A"", ""type_voie"": ""boulevard""}"
105 75001 de la République ter Société Leroy Paris impasse France,105,ter,impasse,de la République,75001,Paris,France,Société Leroy,"Parsing: 105 75001 de la République ter Société Leroy Paris impasse France
Champs: {""Building_Number"": 105, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 75001, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
Mme Martin 115 ter rue des Lilas 44000 Nantes France,115,ter,rue,des Lilas,44000,Nantes,France,Mme Martin,"Parsing: Mme Martin 115 ter rue des Lilas 44000 Nantes France
Champs: {""Building_Number"": 115, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
M. Durant 174 A impasse Jean Jaurès 67000 Boulogne-Billancourt France,174,A,impasse,Jean Jaurès,67000,Boulogne-Billancourt,France,M. Durant,"Parsing: M. Durant 174 A impasse Jean Jaurès 67000 Boulogne-Billancourt France
Champs: {""Building_Number"": 174, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
B Paris Jean Jaurès 92100 62 M. Durant avenue France,62,B,avenue,Jean Jaurès,92100,Paris,France,M. Durant,"Parsing: B Paris Jean Jaurès 92100 62 M. Durant avenue France
Champs: {""Building_Number"": 62, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
Dupont 117 ter chemin Victor Hugo 44000 Bordeaux France,117,ter,chemin,Victor Hugo,44000,Bordeaux,France,Dupont,"Parsing: Dupont 117 ter chemin Victor Hugo 44000 Bordeaux France
Champs: {""Building_Number"": 117, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
Toulouse 33000 rue du Général Leclerc A 139 France,139,A,rue,du Général Leclerc,33000,Toulouse,France,,"Parsing: Toulouse 33000 rue du Général Leclerc A 139 France
Champs: {""Building_Number"": 139, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
de la République 44000 A Dupont rue France 31 Lyon,31,A,rue,de la République,44000,Lyon,France,Dupont,"Parsing: de la République 44000 A Dupont rue France 31 Lyon
Champs: {""Building_Number"": 31, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
société leroy 16 bis impasse de la république 33000 bordeaux france,16,bis,impasse,de la République,33000,Bordeaux,France,Société Leroy,"Parsing: société leroy 16 bis impasse de la république 33000 bordeaux france
Champs: {""Building_Number"": 16, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
dupont 46 b avenue victor hugo 92100 strasbourg france,46,B,avenue,Victor Hugo,92100,Strasbourg,France,Dupont,"Parsing: dupont 46 b avenue victor hugo 92100 strasbourg france
Champs: {""Building_Number"": 46, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""avenue""}"
rue 75001 de verdun france 126 boulogne-billancourt,126,,rue,de Verdun,75001,Boulogne-Billancourt,France,,"Parsing: rue 75001 de verdun france 126 boulogne-billancourt
Champs: {""Building_Number"": 126, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de Verdun"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""rue""}"
113 ter route jean jaurès 67000 bordeaux france,113,ter,route,Jean Jaurès,67000,Bordeaux,France,,"Parsing: 113 ter route jean jaurès 67000 bordeaux france
Champs: {""Building_Number"": 113, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""route""}"
Paris Dupont 129 France boulevard Jean Jaurès 31000 B,129,B,boulevard,Jean Jaurès,31000,Paris,France,Dupont,"Parsing: Paris Dupont 129 France boulevard Jean Jaurès 31000 B
Champs: {""Building_Number"": 129, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 31000, ""repetition"": ""B"", ""type_voie"": ""boulevard""}"
75001 du général leclerc avenue ter 112 france nice mme martin,112,ter,avenue,du Général Leclerc,75001,Nice,France,Mme Martin,"Parsing: 75001 du général leclerc avenue ter 112 france nice mme martin
Champs: {""Building_Number"": 112, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 75001, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
Mme Martin 77 ter rue du Général Leclerc 31000 Nantes France,77,ter,rue,du Général Leclerc,31000,Nantes,France,Mme Martin,"Parsing: Mme Martin 77 ter rue du Général Leclerc 31000 Nantes France
Champs: {""Building_Number"": 77, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
44000 chemin Nantes ter 167 Victor Hugo France,167,ter,chemin,Victor Hugo,44000,Nantes,France,,"Parsing: 44000 chemin Nantes ter 167 Victor Hugo France
Champs: {""Building_Number"": 167, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
dupont bis 141 boulevard 33000 marseille du général leclerc france,141,bis,boulevard,du Général Leclerc,33000,Marseille,France,Dupont,"Parsing: dupont bis 141 boulevard 33000 marseille du général leclerc france
Champs: {""Building_Number"": 141, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
m. durant 92100 france b 86 chemin du général leclerc marseille,86,B,chemin,du Général Leclerc,92100,Marseille,France,M. Durant,"Parsing: m. durant 92100 france b 86 chemin du général leclerc marseille
Champs: {""Building_Number"": 86, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""chemin""}"
90 bis boulevard de verdun 92100 nantes france,90,bis,boulevard,de Verdun,92100,Nantes,France,,"Parsing: 90 bis boulevard de verdun 92100 nantes france
Champs: {""Building_Number"": 90, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de Verdun"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
